id,group,type,level,description,sourcefile
1,syslog,rule,0,Generic template for all syslog rules.,rules_config.xml
2,firewall,rule,0,Generic template for all firewall rules.,rules_config.xml
3,ids,rule,0,Generic template for all ids rules.,rules_config.xml
4,web,rule,0,Generic template for all web rules.,rules_config.xml
5,web_proxy,rule,0,Generic template for all web proxy rules.,rules_config.xml
6,windows,rule,0,Generic template for all windows rules.,rules_config.xml
7,ossec,rule,0,Generic template for all ossec rules.,rules_config.xml
500,ossec,rule,0,Grouping of ossec rules.,ossec_rules.xml
501,ossec,rule,3,New ossec agent connected.,ossec_rules.xml
502,ossec,rule,3,Ossec server started.,ossec_rules.xml
503,ossec,rule,3,Ossec agent started.,ossec_rules.xml
504,ossec,rule,3,Ossec agent disconnected.,ossec_rules.xml
509,ossec,rule,0,Rootcheck event.,ossec_rules.xml
510,ossec,rule,7,Host-based anomaly detection event (rootcheck).,ossec_rules.xml
511,ossec,rule,0,Ignored common NTFS ADS entries.,ossec_rules.xml
512,ossec,rule,3,Windows Audit event.,ossec_rules.xml
513,ossec,rule,9,Windows malware detected.,ossec_rules.xml
514,ossec,rule,2,Windows application monitor event.,ossec_rules.xml
515,ossec,rule,0,Ignoring rootcheck/syscheck scan messages.,ossec_rules.xml
516,ossec,rule,3,System Audit event.,ossec_rules.xml
518,ossec,rule,9,Windows Adware/Spyware application found.,ossec_rules.xml
519,ossec,rule,7,System Audit: Vulnerable web application found.,ossec_rules.xml
530,ossec,rule,0,OSSEC process monitoring rules.,ossec_rules.xml
531,ossec,rule,7,Partition usage reached 100% (disk space monitor).,ossec_rules.xml
532,ossec,rule,0,Ignoring external medias.,ossec_rules.xml
533,ossec,rule,7,Listened ports status (netstat) changed (new port opened or closed).,ossec_rules.xml
534,ossec,rule,1,List of logged in users. It will not be alerted by default.,ossec_rules.xml
535,ossec,rule,1,List of the last logged in users.,ossec_rules.xml
550,ossec,rule,7,Integrity checksum changed.,ossec_rules.xml
551,ossec,rule,7,Integrity checksum changed again (2nd time).,ossec_rules.xml
552,ossec,rule,7,Integrity checksum changed again (3rd time).,ossec_rules.xml
553,ossec,rule,7,File deleted. Unable to retrieve checksum.,ossec_rules.xml
554,ossec,rule,5,File added to the system.,ossec_rules.xml
555,ossec,rule,7,Integrity checksum for agentless device changed.,ossec_rules.xml
580,ossec,rule,8,Host information changed.,ossec_rules.xml
581,ossec,rule,8,Host information added.,ossec_rules.xml
591,ossec,rule,3,Log file rotated.,ossec_rules.xml
592,ossec,rule,8,Log file size reduced.,ossec_rules.xml
593,ossec,rule,9,Microsoft Event log cleared.,ossec_rules.xml
594,ossec,rule,5,Registry Integrity Checksum Changed,ossec_rules.xml
595,ossec,rule,5,Registry Integrity Checksum Changed Again (2nd time),ossec_rules.xml
596,ossec,rule,5,Registry Integrity Checksum Changed Again (3rd time),ossec_rules.xml
597,ossec,rule,5,Registry Entry Deleted. Unable to Retrieve Checksum,ossec_rules.xml
598,ossec,rule,5,Registry Entry Added to the System,ossec_rules.xml
600,ossec,rule,0,Active Response Messages Grouped,ossec_rules.xml
601,ossec,rule,3,Host Blocked by firewall-drop.sh Active Response,ossec_rules.xml
602,ossec,rule,3,Host Unblocked by firewall-drop.sh Active Response,ossec_rules.xml
603,ossec,rule,3,Host Blocked by host-deny.sh Active Response,ossec_rules.xml
