index,title,link
1,Threat Investigation with CSE,https://www.youtube.com/watch?v=cDUOzQ63zmc
2,Managing Access Keys (Conceptual),https://www.youtube.com/watch?v=_YrrRufFkMI
3,Planning Your Use of Data Tiers,https://www.youtube.com/watch?v=mkeGxh_5T98
4,Administering Password Policy and Service Allowlist Settings,https://www.youtube.com/watch?v=rF1yj0Uo_a0
5,Share a Dashboard (New) Inside Your Organization,https://www.youtube.com/watch?v=nQOAYaMad4Q
6,Administering Policies (CloudFlex),https://www.youtube.com/watch?v=2X4UvyHc7SI
7,Setting Up the AWS Observability Solution,https://www.youtube.com/watch?v=aqngY0lUWUI
8,Partitions Basics (New UI),https://www.youtube.com/watch?v=kpQLFVT4uE8
9,Create a CSE Match Rule,https://www.youtube.com/watch?v=l7xOBls1ROE
10,Field Browser Overview,https://www.youtube.com/watch?v=q9nmLCw7MaQ
11,Create a Custom Lookup Table,https://www.youtube.com/watch?v=r-OhblCZkeY
12,Create a Metrics Alert,https://www.youtube.com/watch?v=hQ7Kh9cQUvg
13,Understanding CSE Rules,https://www.youtube.com/watch?v=RVGk2dDeHmk
14,Best Practices for Content Sharing,https://www.youtube.com/watch?v=73PCOG5kJ68
15,Introduction to Tracing,https://www.youtube.com/watch?v=BTqufvTJ4vE
16,Understanding CSE Rules,https://www.youtube.com/watch?v=IiI6VuddzWc
17,Introduction to Metrics,https://www.youtube.com/watch?v=bsZvEGCux_Q
18,Understanding Infrequent Data Tier Usage,https://www.youtube.com/watch?v=7XI8Ald3VFQ
19,Account Overview,https://www.youtube.com/watch?v=1XaNMQUlmBU
20,Best Practices for Organizing Data Tiers,https://www.youtube.com/watch?v=V8awi_BW5bM
21,Using Built-In Lookups,https://www.youtube.com/watch?v=p_C3l0IZRRM
22,Secure your data with the Threat Intel Quick Analysis app,https://www.youtube.com/watch?v=rTKSV1rSDBg
23,Data Tier Basics,https://www.youtube.com/watch?v=5ZdXZOJQ-Ds
24,Customize a Dashboard (New),https://www.youtube.com/watch?v=oTCRykqtL2M
25,Create a Dashboard (New),https://www.youtube.com/watch?v=eiP5yUzGO0s
26,Create a Simple Dashboard,https://www.youtube.com/watch?v=A-O_E-NbxN8
27,Using Scheduled Views,https://www.youtube.com/watch?v=_NRocTR7VJ0
28,Creating a Partition,https://www.youtube.com/watch?v=3B7aG_6Rbhs
29,Creating a Field Extraction Rule,https://www.youtube.com/watch?v=QWm8hR7SmxE
30,Scheduled Views Basics,https://www.youtube.com/watch?v=KCmv9E8qa_Y
31,Introducing Search Optimization Tools,https://www.youtube.com/watch?v=4NkMvSZesf8
32,Field Extraction Rules Basics,https://www.youtube.com/watch?v=Xv3pSwhVCN4
33,Using Your Data in Sumo Logic,https://www.youtube.com/watch?v=RYGRceZHLxc
34,Account Data Management and Upgrade,https://www.youtube.com/watch?v=xLjFDPiIN0c
35,Administering Roles,https://www.youtube.com/watch?v=aTtZlp3i8xY
36,Administering Users,https://www.youtube.com/watch?v=YjKfa00D0Cw
37,Assigning a Collector to Ingest Budgets,https://www.youtube.com/watch?v=MRU5SraiNfU
38,Benefits of Using Sumo Logic,https://www.youtube.com/watch?v=D4WO5DlqD6o
39,Creating Ingest Budgets,https://www.youtube.com/watch?v=EnEiWtTnP0I
40,Setting Source Category Values,https://www.youtube.com/watch?v=vkKeJOBVVjk
41,Introduction to Sumo Logic,https://www.youtube.com/watch?v=wlwo-RLKRIQ
42,Built-in Metadata,https://www.youtube.com/watch?v=HNsXN5RoPwo
43,Ingest Budget Overview,https://www.youtube.com/watch?v=SvO31SPNvJ4
44,Adding a Source,https://www.youtube.com/watch?v=CfWXz6UkpIc
45,Hosted Collector Overview,https://www.youtube.com/watch?v=bjbTm3vR2nA
46,Installed Collector Overview,https://www.youtube.com/watch?v=QxGCrxbJ1Vs
47,Choosing Your Collector Type,https://www.youtube.com/watch?v=ZcbHoC1jZz4
48,Data Collection Strategy,https://www.youtube.com/watch?v=GzIbFY3sN7M
49,Metadata and Keywords,https://www.youtube.com/watch?v=3EeXSxkzVTY
50,Tutorial: Set Up a Linux Source,https://www.youtube.com/watch?v=aPXLj8Mu-0Q
51,Set Up a Cloudflare Source,https://www.youtube.com/watch?v=Ayc2QNGcZ0g
52,Searching Data Tiers,https://www.youtube.com/watch?v=w0H8upLpCwU
53,Creating a Child Org,https://www.youtube.com/watch?v=6TofFw9MVsE
54,Managing an Organization's Credit Allocation,https://www.youtube.com/watch?v=HEPfHZYvgpY
55,Create Custom Insights in CSE,https://youtu.be/4qiap2e9HCY
56,Storing Metrics in Sumo Logic,https://www.youtube.com/watch?v=AapaO2rGOiM
57,Setting up an Apache Source,https://youtu.be/g-3s6FSCSoU
58,Setup and AWS CloudTrail Source,https://www.youtube.com/watch?v=SQMzez_9PiU
59,Configure the CSE actions button,https://www.youtube.com/watch?v=uHY-r04edn0
60,CSE - Create a Log and Ingest Mapping,https://youtu.be/BpHFFtlQl4U
61,CSE - Create and Update Match Lists,https://www.youtube.com/watch?v=H-HxRKO2z8E
62,CSE - Create a Chain Rule,https://youtu.be/58h2mVnw1oE
63,Setting up an NGINX for Kubernetes Sources,https://youtu.be/-A26PEI07mw
64,Forward data from Sumo Logic to Cloud SIEM,https://www.youtube.com/watch?v=XCcu-YU9B5U&list=PLuHsjJUxgM1fRFUzFZuQcZ2GCW-jtiOxa
65,Identifying Bucket Name and Path Expression,https://youtu.be/5dLkIygkXrQ?list=PLuHsjJUxgM1fRFUzFZuQcZ2GCW-jtiOxa
66,Threat Investigation with Context Actions in Cloud SIEM,https://youtu.be/PrMr3sjaJxA?list=PLuHsjJUxgM1fRFUzFZuQcZ2GCW-jtiOxa
67,Basic Search Mode,https://youtu.be/Ps2YperJyZo?list=PLuHsjJUxgM1fRFUzFZuQcZ2GCW-jtiOxa
68,Metrics Formats Supported in Sumo Logic,https://youtu.be/Ps2YperJyZo?list=PLuHsjJUxgM1fRFUzFZuQcZ2GCW-jtiOxa
69,Setting up a Metrics-based Monitor,https://youtu.be/VgZBVoZIwTs?list=PLuHsjJUxgM1fRFUzFZuQcZ2GCW-jtiOxa
70,Cloud SIEM Entities,https://youtu.be/cIpLaDQAOAw?list=PLuHsjJUxgM1fRFUzFZuQcZ2GCW-jtiOxa



