Port,Keyword,Protocol,References
0,HOPOPT,IPv6 Hop-by-Hop Option,RFC 8200
1,ICMP,Internet Control Message Protocol,RFC 792
2,IGMP,Internet Group Management Protocol,RFC 1112
3,GGP,Gateway-to-Gateway Protocol,RFC 823
4,IP-in-IP,IP in IP (encapsulation),RFC 2003
5,ST,Internet Stream Protocol,"RFC 1190, RFC 1819"
6,TCP,Transmission Control Protocol,RFC 793
7,CBT,Core-based trees,RFC 2189
8,EGP,Exterior Gateway Protocol,RFC 888
9,IGP,Interior Gateway Protocol (any private interior gateway (used by Cisco for their IGRP)),
10,BBN-RCC-MON,BBN RCC Monitoring,
11,NVP-II,Network Voice Protocol,RFC 741
12,PUP,Xerox PUP,
13,ARGUS,ARGUS,
14,EMCON,EMCON,
15,XNET,Cross Net Debugger,IEN 158[2]
16,CHAOS,Chaos,
17,UDP,User Datagram Protocol,RFC 768
18,MUX,Multiplexing,IEN 90[3]
19,DCN-MEAS,DCN Measurement Subsystems,
20,HMP,Host Monitoring Protocol,RFC 869
21,PRM,Packet Radio Measurement,
22,XNS-IDP,XEROX NS IDP,
23,TRUNK-1,Trunk-1,
24,TRUNK-2,Trunk-2,
25,LEAF-1,Leaf-1,
26,LEAF-2,Leaf-2,
27,RDP,Reliable Data Protocol,RFC 908
28,IRTP,Internet Reliable Transaction Protocol,RFC 938
29,ISO-TP4,ISO Transport Protocol Class 4,RFC 905
30,NETBLT,Bulk Data Transfer Protocol,RFC 998
31,MFE-NSP,MFE Network Services Protocol,
32,MERIT-INP,MERIT Internodal Protocol,
33,DCCP,Datagram Congestion Control Protocol,RFC 4340
34,3PC,Third Party Connect Protocol,
35,IDPR,Inter-Domain Policy Routing Protocol,RFC 1479
36,XTP,Xpress Transport Protocol,
37,DDP,Datagram Delivery Protocol,
38,IDPR-CMTP,IDPR Control Message Transport Protocol,
39,TP++,TP++ Transport Protocol,
40,IL,IL Transport Protocol,
41,IPv6,IPv6 Encapsulation,RFC 2473
42,SDRP,Source Demand Routing Protocol,RFC 1940
43,IPv6-Route,Routing Header for IPv6,RFC 8200
44,IPv6-Frag,Fragment Header for IPv6,RFC 8200
45,IDRP,Inter-Domain Routing Protocol,
46,RSVP,Resource Reservation Protocol,RFC 2205
47,GREs,Generic Routing Encapsulation,"RFC 2784, RFC 2890"
48,DSR,Dynamic Source Routing Protocol,RFC 4728
49,BNA,Burroughs Network Architecture,
50,ESP,Encapsulating Security Payload,RFC 4303
51,AH,Authentication Header,RFC 4302
52,I-NLSP,Integrated Net Layer Security Protocol,TUBA
53,SwIPe,SwIPe,RFC 5237
54,NARP,NBMA Address Resolution Protocol,RFC 1735
55,MOBILE,IP Mobility (Min Encap),RFC 2004
56,TLSP,Transport Layer Security Protocol (using Kryptonet key management),
57,SKIP,Simple Key-Management for Internet Protocol,RFC 2356
58,IPv6-ICMP,ICMP for IPv6,"RFC 4443, RFC 4884"
59,IPv6-NoNxt,No Next Header for IPv6,RFC 8200
60,IPv6-Opts,Destination Options for IPv6,RFC 8200
61,,Any host internal protocol,
62,CFTP,CFTP,
63,,Any local network,
64,SAT-EXPAK,SATNET and Backroom EXPAK,
65,KRYPTOLAN,Kryptolan,
66,RVD,MIT Remote Virtual Disk Protocol,
67,IPPC,Internet Pluribus Packet Core,
68,,Any distributed file system,
69,SAT-MON,SATNET Monitoring,
70,VISA,VISA Protocol,
71,IPCU,Internet Packet Core Utility,
72,CPNX,Computer Protocol Network Executive,
73,CPHB,Computer Protocol Heart Beat,
74,WSN,Wang Span Network,
75,PVP,Packet Video Protocol,
76,BR-SAT-MON,Backroom SATNET Monitoring,
77,SUN-ND,SUN ND PROTOCOL-Temporary,
78,WB-MON,WIDEBAND Monitoring,
79,WB-EXPAK,WIDEBAND EXPAK,
80,ISO-IP,International Organization for Standardization Internet Protocol,
81,VMTP,Versatile Message Transaction Protocol,RFC 1045
